start_date,end_date,years,num_investments,total_invested,final_value,total_return,total_return_pct,xirr,simple_cagr,cagr,avg_purchase_price,final_price
2010-02-12,2020-02-12,9.998631074606434,121,121000,1928304.6922976645,1807304.6922976645,1493.6402415683178,52.36194088555541,31.90324832215503,52.36194088555541,0.8958263925056057,14.276249885559082
2010-05-12,2020-05-12,10.001368925393566,121,121000,1117253.4682767203,996253.4682767203,823.3499737824135,41.904967881452386,24.88877932275848,41.904967881452386,0.9759300154980911,9.011249542236328
2010-08-12,2020-08-12,10.001368925393566,121,121000,1777005.9392846462,1656005.9392846462,1368.5999498220217,50.78825625213476,30.820070563393177,50.78825625213476,1.0810466300882577,15.876250267028809
2010-11-12,2020-11-12,10.001368925393566,121,121000,1773343.3237521667,1652343.3237521667,1365.5729948365015,50.73353385242956,30.793085680381417,50.73353385242956,1.206268752682966,17.678749084472656
2011-02-12,2021-02-12,10.001368925393566,121,121000,2548465.075919505,2427465.075919505,2006.1694842309962,57.8295708805706,35.622334728526894,57.8295708805706,1.306993589959771,27.52750015258789
2011-05-12,2021-05-12,10.001368925393566,121,121000,1893434.121293833,1772434.121293833,1464.821587846143,52.041376499039686,31.652810201416326,52.041376499039686,1.4099051400720601,22.0625
2011-08-12,2021-08-12,10.001368925393566,121,121000,2678216.5592800523,2557216.5592800523,2113.402115107481,58.85830455033116,36.29741580741659,58.85830455033116,1.5336119660830754,33.94499969482422
2011-11-12,2021-11-12,10.001368925393566,121,121000,2912596.3630944174,2791596.3630944174,2307.104432309436,60.51868612450219,37.44551857978799,60.51868612450219,1.7183508401991658,41.36249923706055
2012-02-12,2022-02-12,10.001368925393566,120,120000,1670197.0528105232,1550197.0528105232,1291.8308773421027,49.59786010262858,30.11968222640775,49.59786010262858,1.914025606366865,26.63999938964844
2012-05-12,2022-05-12,9.998631074606434,121,121000,819995.5447060444,698995.5447060444,577.6822683521027,36.0881562945723,21.091592276903604,36.0881562945723,2.1049688046302992,14.265000343322754
2012-08-12,2022-08-12,9.998631074606434,121,121000,979850.4127915701,858850.4127915701,709.79372957981,39.42330623230325,23.26786601230124,39.42330623230325,2.34504159237832,18.989999771118164
2012-11-12,2022-11-12,9.998631074606434,120,120000,530010.8822898425,410010.88228984247,341.6757352415354,27.98854146927426,16.016346871829825,27.98854146927426,2.566362408826534,11.335000038146973
2013-02-12,2023-02-12,9.998631074606434,120,120000,494063.5066260413,374063.5066260413,311.71958885503443,26.691637827960157,15.204267690530205,26.691637827960157,2.8927454922737708,11.90999984741211
2013-05-12,2023-05-12,9.998631074606434,121,121000,531866.574924281,410866.574924281,339.5591528299843,28.025538305404286,15.960622054641394,28.025538305404286,3.268047014521924,14.364999771118164
2013-08-12,2023-08-12,9.998631074606434,120,120000,648027.816832228,528027.816832228,440.02318069352333,31.729646329327664,18.37262207843313,31.729646329327664,3.619289092589198,19.545000076293945
2013-11-12,2023-11-12,9.998631074606434,120,120000,611421.1709049846,491421.1709049846,409.5176424208205,30.6531927929643,17.686217455329523,30.6531927929643,4.000842862286105,20.385000228881836
2014-02-12,2024-02-12,9.998631074606434,121,121000,819743.10719364,698743.10719364,577.4736423087934,36.05154118627114,21.08786341743847,36.05154118627114,4.395743070557975,29.780000686645508
2014-05-12,2024-05-12,10.001368925393566,120,120000,747167.6908642073,627167.6908642073,522.6397423868394,34.393457185844326,20.064001306785695,34.393457185844326,4.751543640799564,29.584999084472656
2014-08-12,2024-08-12,10.001368925393566,121,121000,690476.6125989152,569476.6125989152,470.64182859414484,32.85674650600763,19.021661243881983,32.85674650600763,5.1915226882307755,29.625
2014-11-12,2024-11-12,10.001368925393566,121,121000,885376.7707764581,764376.7707764581,631.7163394846762,37.494386500661,22.017590516752826,37.494386500661,5.613514219440177,41.07500076293945
2015-02-12,2025-02-12,10.001368925393566,121,121000,856256.7079100149,735256.7079100149,607.6501718264586,36.85616017999375,21.610263603112003,36.85616017999375,6.019923426877674,42.599998474121094
2015-05-12,2025-05-12,10.001368925393566,121,121000,622565.6461155696,501565.64611556963,414.51706290542944,30.943552988447397,17.795917984970956,30.943552988447397,6.424471157189093,33.05500030517578
2015-08-12,2025-08-12,10.001368925393566,121,121000,833800.8862656051,712800.8862656051,589.0916415418224,36.386047192908244,21.287550270859068,36.386047192908244,6.872816002293242,47.36000061035156
2015-11-12,2025-11-12,10.001368925393566,121,121000,907675.6682720328,786675.6682720328,650.1451803901097,37.96777831428735,22.321431218488996,37.96777831428735,7.435227604458295,55.775001525878906
2016-02-12,2026-02-12,10.001368925393566,121,121000,723291.8575400776,602291.8575400776,497.76186573560136,33.70732678924905,19.575496256767245,33.70732678924905,8.073448824331543,48.2599983215332
